Date,Event,Type
2025-01-04,World Braille Day,['Observance']
2025-01-24,International Day of Education,['Observance']
2025-01-26,International Day of Clean Energy,['Observance']
2025-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,['Observance']
2025-01-28,International Day of Living Together in Peace,['Observance']
2025-02-01,World Interfaith Harmony Week,['Observance']
2025-02-02,World Wetlands Day,['Observance']
2025-02-04,International Day of Human Fraternity,['Observance']
2025-02-06,International Day of Zero Tolerance for Female Genital Mutilation,['Observance']
2025-02-10,World Pulses Day,['Observance']
2025-02-10,International Day of the Arabian Leopard,['Observance']
2025-02-11,International Day of Women and Girls in Science,['Observance']
2025-02-12,International Day for the Prevention of Violent Extremism as and when Conducive to Terrorism,['Observance']
2025-02-13,World Radio Day,['Observance']
2025-02-17,World Tourism Resilience Day,['Observance']
2025-02-20,World Day of Social Justice,['Observance']
2025-02-21,International Mother Language Day,['Observance']
2025-03-01,Zero Discrimination Day,['Observance']
2025-03-01,World Seagrass Day,['Observance']
2025-03-03,World Wildlife Day,['Observance']
2025-03-05,International Day for Disarmament and Non-Proliferation Awareness,['Observance']
2025-03-08,International Women's Day,['Observance']
2025-03-10,International Day of Women Judges,['Observance']
2025-03-15,International Day to Combat Islamophobia,['Observance']
2025-03-20,International Day of Happiness,['Observance']
2025-03-20,French Language Day,['Observance']
2025-03-21,World Down Syndrome Day,['Observance']
2025-03-21,International Nowruz Day,['Observance']
2025-03-21,World Poetry Day,['Observance']
2025-03-21,International Day for the Elimination of Racial Discrimination,['Observance']
2025-03-21,Week of Solidarity with the Peoples Struggling against Racism and Racial Discrimination,['Observance']
2025-03-21,World Glacier Day,['Observance']
2025-03-21,International Day of Forests,['Observance']
2025-03-22,World Water Day,['Observance']
2025-03-23,World Meteorological Day,['Observance']
2025-03-24,World Tuberculosis Day,['Observance']
2025-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,['Observance']
2025-03-25,International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade,['Observance']
2025-03-25,International Day of Solidarity with Detained and Missing Staff Members,['Observance']
2025-03-30,International Day of Zero Waste,['Observance']
2025-04-02,World Autism Awareness Day,['Observance']
2025-04-04,International Day for Mine Awareness and Assistance in Mine Action,['Observance']
2025-04-05,International Day of Conscience,['Observance']
2025-04-06,International Day of Sport for Development and Peace,['Observance']
2025-04-07,International Day of Reflection on the 1994 Genocide against the Tutsi in Rwanda,['Observance']
2025-04-07,World Health Day,['Observance']
2025-04-12,International Day of Human Space Flight,['Observance']
2025-04-14,World Chagas Disease Day,['Observance']
2025-04-20,Chinese Language Day,['Observance']
2025-04-21,World Creativity and Innovation Day,['Observance']
2025-04-22,International Mother Earth Day,['Observance']
2025-04-23,World Book and Copyright Day,['Observance']
2025-04-23,English Language Day,['Observance']
2025-04-23,Spanish Language Day,['Observance']
2025-04-24,World Immunization Week,['Observance']
2025-04-24,International Day of Multilateralism and Diplomacy for Peace,['Observance']
2025-04-24,International Girls in ICT Day,['Observance']
2025-04-25,International Delegate’s Day,['Observance']
2025-04-25,World Malaria Day,['Observance']
2025-04-26,International Chernobyl Disaster Remembrance Day,['Observance']
2025-04-26,World Intellectual Property Day,['Observance']
2025-04-28,World Day for Safety and Health at Work,['Observance']
2025-04-29,International Day in Memory of Earthquake Victims,['Observance']
2025-04-30,International Jazz Day,['Observance']
2025-05-02,World Tuna Day,['Observance']
2025-05-03,World Press Freedom Day,['Observance']
2025-05-05,World Portuguese Language Day,['Observance']
2025-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives During the Second World War,['Observance']
2025-05-10,International Day of Argania,['Observance']
2025-05-10,World Migratory Bird Day,['Observance']
2025-05-12,UN Global Road Safety Week,['Observance']
2025-05-12,Day of Vesak,['Observance']
2025-05-12,International Day of Plant Health,['Observance']
2025-05-15,International Day of Families,['Observance']
2025-05-16,International Day of Living Together in Peace,['Observance']
2025-05-16,International Day of Light,['Observance']
2025-05-17,World Telecommunication and Information Society Day,['Observance']
2025-05-19,World Fair Play Day,['Observance']
2025-05-20,World Bee Day,['Observance']
2025-05-21,International Tea Day,['Observance']
2025-05-21,World Day for Cultural Diversity for Dialogue and Development,['Observance']
2025-05-22,International Day for Biological Diversity,['Observance']
2025-05-23,International Day to End Obstetric Fistula,['Observance']
2025-05-24,International Day of the Markhor,['Observance']
2025-05-25,World Football Day,['Observance']
2025-05-25,Week of Solidarity with the Peoples of Non-Self-Governing Territories,['Observance']
2025-05-29,International Day of UN Peacekeepers,['Observance']
2025-05-30,International Day of Potato,['Observance']
2025-05-31,World No Tobacco Day,['Observance']
2025-06-01,Global Day of Parents,['Observance']
2025-06-03,World Bicycle Day,['Observance']
2025-06-04,International Day of Innocent Children Victims of Aggression,['Observance']
2025-06-05,World Environment Day,['Observance']
2025-06-05,International Day for the Fight Against Illegal Fishing,['Observance']
2025-06-06,Russian Language Day,['Observance']
2025-06-07,World Food Safety Day,['Observance']
2025-06-08,World Oceans Day,['Observance']
2025-06-10,International Day for Dialogue among Civilizations,['Observance']
2025-06-11,International Day of Play,['Observance']
2025-06-12,World Day Against Child Labour,['Observance']
2025-06-13,International Albinism Awareness Day,['Observance']
2025-06-14,World Blood Donor Day,['Observance']
2025-06-15,World Elder Abuse Awareness Day,['Observance']
2025-06-16,International Day of Family Remittances,['Observance']
2025-06-17,World Day to Combat Desertification and Drought,['Observance']
2025-06-18,Sustainable Gastronomy Day,['Observance']
2025-06-18,International Day for Countering Hate Speech,['Observance']
2025-06-19,International Day for the Elimination of Sexual Violence in Conflict,['Observance']
2025-06-20,World Refugee Day,['Observance']
2025-06-21,International Day of Yoga,['Observance']
2025-06-21,International Day of the Celebration of the Solstice,['Observance']
2025-06-23,United Nations Public Service Day,['Observance']
2025-06-23,International Widows' Day,['Observance']
2025-06-24,International Day of Women in Diplomacy,['Observance']
